y1_HG_x,y1_HG_y,y1_LC1_x,y1_LC1_y,y1_LC2_x,y1_LC2_y,y3_HG_x,y3_HG_y,y3_LC1_x,y3_LC1_y,y3_LC2_x,y3_LC2_y,y2_HG_x,y2_HG_y,y2_LC1_x,y2_LC1_y,y2_LC2_x,y2_LC2_y,y4_HG_x,y4_HG_y,y4_LC1_x,y4_LC1_y,y4_LC2_x,y4_LC2_y
,,0.041126715,863650.6668,0.027208892,981384.9347,,,-0.017786025,716572.5011,-0.017932582,547573.3459,,,-62.65642177,1299769.679,287.5598977,970859.5638,,,,,376.9633508,1414905.696
,,0.041126715,893993.226,0.027208892,1010693.088,,,-0.022127293,726170.4521,-0.021067521,559385.474,,,-4.646907991,1341088.775,375.3639065,1005987.114,,,,,337.6963351,1436068.883
,,0.041126715,924335.7852,0.027335802,1052174.774,,,-0.027307278,736626.4562,0.012658467,561925.0816,,,20.77336712,1382938.576,433.6343125,1038435.872,,,,,290.5759162,1460259.888
,,0.041126715,954678.3444,0.02780114,1099339.605,,,-0.031619295,745337.9007,-0.02538072,562072.7332,,,37.39317272,1421957.955,491.6919274,1078119.533,,,,,259.1623037,1475383.208
,,0.040957502,999132.0866,0.02780114,1126578.948,,,-0.035150725,756874.474,-0.011655027,563106.2944,,,36.4120393,1455316.491,490.9146658,1104546.426,,,,,212.0418848,1499574.213
,,0.040652917,1042737.752,0.02780114,1156921.507,,,-0.039493125,760702.534,-0.006556912,563490.1886,,,35.43090587,1488675.028,534.7646404,1123879.214,,,,,153.1413613,1526800.921
,,0.040534468,1079694.015,0.02792805,1198797.253,,,-0.02847845,763646.6992,-0.002635286,563785.4918,,,10.78364497,1521224.872,533.8838501,1153826.082,,,,,102.0942408,1550999.811
,,0.040534468,1110036.574,0.02780114,1244845.969,,,-0.025341149,763882.9418,0.002070666,564139.8556,,,-15.94613749,1545180.723,532.9027167,1187184.618,,,,,54.97382199,1572178.767
,,0.040534468,1140379.134,0.028097263,1274859.952,,,-0.022119887,763940.5924,0.006384455,564464.6891,,,-3.870124271,1566383.449,531.9215833,1220543.155,,,,,,
,,0.040534468,1170721.693,0.028097263,1305202.511,,,-0.017776673,764267.6417,0.009129594,564671.4014,,,,,520.0428607,1264840.692,,,,,,
,,0.040365254,1215635.171,0.028689511,1335577.522,,,-0.013433458,764594.691,0.015404196,565143.8865,,,,,467.0552848,1311672.611,,,,,,
,,0.040060669,1257309.946,0.028689511,1365920.082,,,-0.009090243,764921.7403,-0.016752551,565734.4929,,,,,431.1658398,1343373.494,,,,,,
,,0.040238344,1291558.501,0.028097263,1396230.189,,,-0.004747028,765248.7896,0.014625186,592193.6598,,,,,400.6024096,1382530.12,,,,,,
,,0.03994222,1324240.98,0.028689511,1426605.2,,,-0.000403814,765575.8389,0.013845586,616231.3405,,,,,340.6272147,1421686.747,,,,,,
,,0.03994222,1354583.539,0.028235294,1457711.523,,,0.003939401,765902.8882,0.013461101,655359.0149,,,,,221.5627215,1469879.518,,,,,,
,,0.039468421,1381130.304,0.027647059,1490556.003,,,-0.031615161,766422.5494,0.013076026,691474.5965,,,,,161.4989369,1512048.193,,,,,,
,,0.039349972,1416155.677,,,,,0.008384839,766422.5494,0.012692132,733614.3635,,,,,72.11197732,1551204.819,,,,,,
,,0.039349972,1446498.236,,,,,0.012625868,766746.5268,0.012699219,769759.4755,,,,,,,,,,,,
,,0.039152556,1475910.507,,,,,0.016969045,766884.0361,0.012708078,814940.8655,,,,,,,,,,,,
,,,,,,,,0.023681286,767389.476,0.012321821,845032.2619,,,,,,,,,,,,
,,,,,,,,0.020649795,769058.2319,0.012332452,899249.9299,,,,,,,,,,,,
,,,,,,,,0.022507419,791582.3822,0.01234013,938407.1345,,,,,,,,,,,,
,,,,,,,,0.021480601,820294.1607,0.012351352,995636.8952,,,,,,,,,,,,
,,,,,,,,0.020343451,860390.4053,0.01235962,1037806.193,,,,,,,,,,,,
,,,,,,,,0.019563191,908347.726,0.012367298,1076963.397,,,,,,,,,,,,
,,,,,,,,0.018782608,954662.3672,0.012381473,1149253.621,,,,,,,,,,,,
